YEAR,Player,Team,Conf,G,Rec,RecYds,YperR,RecTD,RecYperG,RusAtt,RusYds,YperA,RusTD,RusYperG,Plays,Yds,Avg,TD,Awards
2024,Cameron Skattebo,Arizona State,Big 12,13,45,605,13.4,3,46.5,293,1711,5.8,21,131.6,338,2316,6.9,24,H-5
2024,Yamir Knight,James Madison,Sun Belt,13,53,605,11.4,4,46.5,1,1,1,0,0.1,54,606,11.2,4,
2024,A.J. Henning,Northwestern,Big Ten,12,59,603,10.2,4,50.3,5,8,1.6,0,0.7,64,611,9.5,4,
2024,Dalen Cobb,Georgia Southern,Sun Belt,13,52,599,11.5,4,46.1,8,25,3.1,0,1.9,60,624,10.4,4,
2024,Bryce Kirtz,Northwestern,Big Ten,10,39,598,15.3,0,59.8,0,0,,0,0,39,598,15.3,0,
2024,Cam Coleman,Auburn,SEC,11,37,598,16.2,8,54.4,0,0,,0,0,37,598,16.2,8,
2024,Dontae Fleming,Tulane,American,14,31,598,19.3,1,42.7,3,21,7,0,1.5,34,619,18.2,1,
2024,Omar Cooper Jr.,Indiana,Big Ten,13,28,594,21.2,7,45.7,2,23,11.5,1,1.8,30,617,20.6,8,
2024,Jaden Greathouse,Notre Dame,Ind,16,42,592,14.1,4,37,0,0,,0,0,42,592,14.1,4,
2024,Terrance Ferguson,Oregon,Big Ten,12,43,591,13.7,3,49.3,0,0,,0,0,43,591,13.7,3,
2024,Elijah Arroyo,Miami (FL),ACC,13,35,590,16.9,7,45.4,0,0,,0,0,35,590,16.9,7,
2024,Omari Hayes,Florida Atlantic,American,11,39,590,15.1,3,53.6,3,7,2.3,0,0.6,42,597,14.2,3,
2024,Joseph Williams,Tulsa,American,12,30,588,19.6,5,49,1,6,6,0,0.5,31,594,19.2,5,
2024,Montorie Foster,Michigan State,Big Ten,12,46,588,12.8,3,49,2,7,3.5,0,0.6,48,595,12.4,3,
2024,Jahmal Banks,Nebraska,Big Ten,13,44,587,13.3,3,45.2,0,0,,0,0,44,587,13.3,3,
2024,Colston Loveland,Michigan,Big Ten,10,56,582,10.4,5,58.2,1,-2,-2,0,-0.2,57,580,10.2,5,
2024,J.J. Jones,North Carolina,ACC,13,36,582,16.2,6,44.8,0,0,,0,0,36,582,16.2,6,
2024,Desmond Reid,Pitt,ACC,11,52,579,11.1,4,52.6,184,966,5.3,5,87.8,236,1545,6.5,9,
2024,James Tucker,Coastal Carolina,Sun Belt,13,34,579,17,6,44.5,3,34,11.3,0,2.6,37,613,16.6,6,
2024,Nyziah Hunter,California,ACC,12,40,578,14.5,5,48.2,1,6,6,0,0.5,41,584,14.2,5,
2024,Christian Fitzpatrick,Marshall,Sun Belt,13,34,576,16.9,6,44.3,0,0,,0,0,34,576,16.9,6,
2024,Noah Thomas,Texas A&M,SEC,13,39,574,14.7,8,44.2,4,18,4.5,0,1.4,43,592,13.8,8,
2024,Darrell Gill Jr.,Syracuse,ACC,12,31,570,18.4,2,47.5,2,6,3,0,0.5,33,576,17.5,2,
2024,Malcolm Johnson Jr.,Bowling Green,MAC,13,49,569,11.6,3,43.8,1,-4,-4,0,-0.3,50,565,11.3,3,
2024,Ashtyn Hawkins,Baylor,Big 12,13,45,567,12.6,5,43.6,3,4,1.3,0,0.3,48,571,11.9,5,
2024,Jalen Moss,Fresno State,MWC,12,48,563,11.7,4,46.9,1,6,6,0,0.5,49,569,11.6,4,
2024,Simeon Evans,Sam Houston,CUSA,13,50,559,11.2,6,43,5,17,3.4,0,1.3,55,576,10.5,6,
2024,Dorian Fleming,Georgia State,Sun Belt,12,49,558,11.4,6,46.5,1,-3,-3,0,-0.3,50,555,11.1,6,
2024,Quentin Skinner,Kansas,Big 12,12,25,557,22.3,4,46.4,3,22,7.3,0,1.8,28,579,20.7,4,
2024,Winston Wright,East Carolina,American,11,54,556,10.3,8,50.5,13,91,7,0,8.3,67,647,9.7,8,
2024,Antwane Wells Jr.,Ole Miss,SEC,13,28,553,19.8,6,42.5,5,4,0.8,0,0.3,33,557,16.9,6,
2024,Mason Taylor,LSU,SEC,12,55,546,9.9,2,45.5,0,0,,0,0,55,546,9.9,2,
2024,Isaac TeSlaa,Arkansas,SEC,13,28,545,19.5,3,41.9,0,0,,0,0,28,545,19.5,3,
2024,Kenneth Womack,Western Michigan,MAC,10,39,545,14,1,54.5,2,7,3.5,0,0.7,41,552,13.5,1,
2024,Blair Conwright,North Texas,American,13,40,542,13.6,7,41.7,0,0,,0,0,40,542,13.6,7,
2024,Isaiah Bond,Texas,SEC,14,34,540,15.9,5,38.6,4,98,24.5,1,7,38,638,16.8,6,
2024,Kenny Johnson,Pitt,ACC,13,46,537,11.7,3,41.3,6,26,4.3,0,2,52,563,10.8,3,
2024,JJ Jenkins,Buffalo,MAC,13,36,536,14.9,4,41.2,0,0,,0,0,36,536,14.9,4,
2024,Willie McCoy,UTSA,American,11,28,536,19.1,4,48.7,4,13,3.3,0,1.2,32,549,17.2,4,
2024,Kam Thomas,UTEP,CUSA,9,47,532,11.3,2,59.1,13,27,2.1,0,3,60,559,9.3,2,
2024,Jake Briningstool,Clemson,ACC,13,49,530,10.8,7,40.8,0,0,,0,0,49,530,10.8,7,
2024,Cam Pickett,Ball State,MAC,12,49,528,10.8,2,44,17,170,10,2,14.2,66,698,10.6,4,
